code,name,date
204630,스튜디오산타클로스,2014-12-29
253450,스튜디오드래곤,2017-11-24
408900,스튜디오미르,2023-02-07
026890,스틱인베스트먼트,1997-11-25
013810,스페코,1997-11-03
203690,스피어파워,2014-09-30
049830,승일,2001-01-18
020710,시공테크,1999-08-13
033170,시그네틱스,2010-11-26
048870,시너지이노베이션,2004-08-13
025320,시노펙스,1995-04-20
134790,시디즈,2011-01-25
269620,시스웍,2017-12-26
000480,CR홀딩스,1978-06-30
429270,시지트로닉스,2023-08-03
418250,시큐레터,2023-08-24
131090,시큐브,2011-12-21
232830,시큐센,2023-06-29
139050,시티랩스,2011-07-29
016590,신대양제지,1995-12-21
290520,신도기연,2020-07-06
029530,신도리코,1996-12-24
004970,신라교역,1976-06-30
001000,신라섬유,1994-06-28
025870,신라에스지,1995-07-07
215600,신라젠,2016-12-06
065350,신성델타테크,2004-08-06
416180,신성에스티,2023-10-19
011930,신성이엔지,1996-07-31
005390,신성통상,1975-12-22
034300,신세계건설,2002-06-17
004170,신세계,1985-08-19
035510,신세계 I&C,2006-05-18
031430,신세계인터내셔날,2011-07-14
031440,신세계푸드,2010-04-29
006880,신송홀딩스,2013-11-21
162300,신스틸,2022-12-23
290560,신시웨이,2023-11-03
002800,신신제약,2017-02-28
005800,신영와코루,1976-12-28
001725,신영증권우,1988-08-16
001720,신영증권,1987-08-24
419270,신영스팩7호,2022-04-28
430220,신영스팩8호,2022-08-26
445970,신영스팩9호,2022-12-27
009270,신원,1988-08-24
017000,신원종합개발,1994-12-07
002700,신일전자,1975-09-30
012790,신일제약,1999-08-13
138070,신진에스엠,2011-11-28
226330,신테카바이오,2019-12-17
002870,신풍,1976-06-30
019175,신풍제약우,1990-01-20
019170,신풍제약,1990-01-20
055550,신한지주,2001-09-10
404990,신한서부티엔디리츠,2021-12-10
293940,신한알파리츠,2018-08-08
418210,신한제10호스팩,2022-07-29
452980,신한제11호스팩,2023-10-04
393360,신한제8호스팩,2021-09-27
405640,신한제9호스팩,2022-04-27
056700,신화인터텍,2001-12-13
187270,신화콘텍,2014-08-08
004080,신흥,1991-02-08
243840,신흥에스이씨,2017-09-27
257720,실리콘투,2021-09-29
222800,심텍,2015-08-07
036710,심텍홀딩스,2000-01-04
160980,싸이맥스,2015-06-17
356890,싸이버원,2021-03-11
217330,싸이토젠,2018-11-22
102280,쌍방울,2008-06-10
003410,쌍용C&E,1975-05-03
010280,쌍용정보통신,2000-04-14
004770,써니전자,1987-04-22
217320,썬테크,2015-04-29
208640,썸에이지,2014-12-29
222420,쎄노텍,2015-08-06
037760,쎄니트,2000-04-07
099320,쎄트렉아이,2008-06-13
049960,쎌바이오텍,2002-12-13
088280,쏘닉스,2023-11-07
403550,쏘카,2022-08-22
050890,쏠리드,2005-07-08
013720,CBI,1993-12-29
109670,씨싸이트,2023-12-21
066790,씨씨에스,2003-05-30
222080,씨아이에스,2015-09-02
004920,씨아이테크,1989-11-30
236030,씨알푸드,2017-12-14
103660,씨앗,2015-06-22
352480,씨앤씨인터내셔널,2021-05-17
245450,씨앤에스링크,2016-06-24
023460,CNH,1994-10-07
264660,씨앤지하이테크,2018-01-25
352700,씨앤투스,2021-01-28
056730,CNT85,2002-01-04
065770,CS,2004-06-04
297090,씨에스베어링,2019-11-21
083660,CSA 코스믹,2006-07-25
112610,씨에스윈드,2014-11-27
900120,씨엑스아이,2010-03-31
359090,씨엔알리서치,2020-09-23
286000,씨엔티드림,2020-12-11
115530,씨엔플러스,2011-11-02
115480,씨유메디칼,2011-12-15
340810,씨유박스,2023-05-19
376290,씨유테크,2021-10-08
189330,씨이랩,2021-02-24
000120,CJ대한통운,1956-07-02
311690,CJ 바이오사이언스,2019-12-26
079160,CJ CGV,2004-12-24
035760,CJ ENM,1999-11-23
097955,CJ제일제당 우,2007-09-28
097950,CJ제일제당,2007-09-28
051500,CJ프레시웨이,2001-07-26
096530,씨젠,2010-09-10
083790,CG인바이츠,2006-01-06
101240,씨큐브,2011-11-08
060590,씨티씨바이오,2002-02-21
308170,씨티알모빌리티,2019-11-25
260930,씨티케이,2017-12-07
052300,씨티프라퍼티,2001-08-02
013990,아가방컴퍼니,2002-01-17
123860,아나패스,2010-11-05
